customer_id,first_name,last_name,email,phone,age,gender,country,state,city,registration_date,customer_segment,total_orders,total_spent,is_active
130,First_130,Last_130,customer_130@example.com,+1-244-750-7338,79,Other,Netherlands,,City_65,2025-05-13,Silver,3,64.06,True
131,First_131,Last_131,customer_131@example.com,+1-952-874-6447,65,M,Australia,,City_9,2024-04-27,Bronze,5,1353.86,True
132,First_132,Last_132,customer_132@example.com,+1-338-164-8498,52,F,Germany,,City_100,2023-10-08,Silver,30,5709.6,True
133,First_133,Last_133,customer_133@example.com,+1-971-762-4131,68,M,United States,NJ,City_40,2025-07-01,Silver,30,6628.52,True
134,First_134,Last_134,customer_134@example.com,+1-595-447-4060,73,Other,Australia,,City_35,2025-06-23,Bronze,2,1333.46,True
135,First_135,Last_135,customer_135@example.com,+1-816-942-3956,41,Other,Canada,,City_11,2022-12-15,Silver,0,0.0,True
136,First_136,Last_136,customer_136@example.com,+1-654-459-8325,24,M,Australia,,City_85,2023-12-11,Bronze,2,685.45,False
137,First_137,Last_137,customer_137@example.com,+1-231-246-8179,35,Other,United States,TX,City_86,2023-04-22,Silver,2,894.09,True
138,First_138,Last_138,customer_138@example.com,+1-579-480-8273,67,Other,Australia,,City_47,2024-06-02,Bronze,3,767.63,True
139,First_139,Last_139,customer_139@example.com,+1-711-630-7340,51,F,Spain,,City_41,2024-12-21,Silver,1,61.03,True
140,First_140,Last_140,customer_140@example.com,+1-662-276-8292,34,F,Italy,,City_28,2025-01-30,Platinum,2,128.43,True
141,First_141,Last_141,customer_141@example.com,+1-917-753-3852,60,F,United Kingdom,,City_71,2023-12-14,Silver,8,4382.71,True
142,First_142,Last_142,customer_142@example.com,+1-678-922-3126,32,M,France,,City_18,2022-11-22,Bronze,3,431.38,True
143,First_143,Last_143,customer_143@example.com,+1-275-228-6194,22,F,Spain,,City_92,2025-04-05,Silver,3,1202.1,True
144,First_144,Last_144,customer_144@example.com,+1-986-232-8088,47,Other,Netherlands,,City_45,2023-03-22,Bronze,8,1802.01,True
145,First_145,Last_145,customer_145@example.com,+1-401-750-5496,71,M,Netherlands,,City_20,2025-06-07,Bronze,1,117.28,True
146,First_146,Last_146,customer_146@example.com,+1-839-837-6531,57,Other,United Kingdom,,City_65,2024-01-17,Silver,3,724.02,True
147,First_147,Last_147,customer_147@example.com,+1-785-526-1496,70,M,United Kingdom,,City_6,2025-07-06,Gold,5,554.33,True
148,First_148,Last_148,customer_148@example.com,+1-261-261-8202,59,F,Italy,,City_32,2024-02-13,Gold,5,608.8,True
149,First_149,Last_149,customer_149@example.com,+1-608-233-7070,31,F,Sweden,,City_19,2023-02-20,Bronze,5,1797.88,True
150,First_150,Last_150,customer_150@example.com,+1-593-984-7850,38,M,Italy,,City_16,2025-02-23,Bronze,1,55.09,True
151,First_151,Last_151,customer_151@example.com,+1-710-415-9148,70,F,Sweden,,City_93,2024-11-05,Bronze,5,996.0,False
152,First_152,Last_152,customer_152@example.com,+1-706-711-8710,47,M,France,,City_75,2022-11-28,Bronze,0,0.0,True
153,First_153,Last_153,customer_153@example.com,+1-610-152-4189,72,M,Spain,,City_18,2025-09-12,Gold,5,1969.49,True
154,First_154,Last_154,customer_154@example.com,+1-603-482-6555,22,F,Netherlands,,City_58,2024-02-15,Silver,2,125.79,True
155,First_155,Last_155,customer_155@example.com,+1-541-923-8761,66,M,France,,City_78,2023-09-11,Silver,3,103.25,True
156,First_156,Last_156,customer_156@example.com,+1-506-707-6511,56,Other,Germany,,City_42,2024-11-27,Gold,2,311.18,True
157,First_157,Last_157,customer_157@example.com,+1-539-789-2795,52,F,Sweden,,City_39,2022-11-20,Bronze,0,0.0,True
158,First_158,Last_158,customer_158@example.com,+1-691-274-9589,68,Other,United States,WI,City_61,2024-01-07,Bronze,5,493.78,True
159,First_159,Last_159,customer_159@example.com,+1-628-255-7765,27,Other,France,,City_5,2023-08-12,Silver,5,434.21,True
160,First_160,Last_160,customer_160@example.com,+1-878-589-9609,50,Other,Italy,,City_95,2023-06-11,Silver,5,1044.11,True
161,First_161,Last_161,customer_161@example.com,+1-909-370-8932,47,Other,Australia,,City_70,2024-10-09,Bronze,5,1729.68,True
162,First_162,Last_162,customer_162@example.com,+1-906-821-9011,35,Other,Canada,,City_29,2024-05-12,Gold,30,12100.09,True
163,First_163,Last_163,customer_163@example.com,+1-553-891-3399,53,Other,Canada,,City_37,2023-10-15,Bronze,5,753.23,True
164,First_164,Last_164,customer_164@example.com,+1-751-377-5450,79,Other,United Kingdom,,City_45,2024-02-17,Gold,5,1870.34,True
165,First_165,Last_165,customer_165@example.com,+1-623-438-8739,33,M,Netherlands,,City_29,2024-05-26,Silver,0,0.0,True
166,First_166,Last_166,customer_166@example.com,+1-974-394-6262,18,Other,Germany,,City_53,2024-12-21,Silver,8,1512.62,True
167,First_167,Last_167,customer_167@example.com,+1-380-137-7504,76,M,Sweden,,City_30,2025-05-30,Silver,5,408.62,True
168,First_168,Last_168,customer_168@example.com,+1-491-565-9901,77,Other,Canada,,City_5,2024-09-12,Bronze,3,176.58,True
169,First_169,Last_169,customer_169@example.com,+1-463-835-4050,72,Other,Italy,,City_35,2024-12-28,Bronze,1,77.6,False
170,First_170,Last_170,customer_170@example.com,+1-535-188-7567,54,Other,France,,City_23,2024-02-02,Silver,3,481.07,True
171,First_171,Last_171,customer_171@example.com,+1-592-341-8319,80,M,Italy,,City_42,2024-09-15,Gold,0,0.0,True
172,First_172,Last_172,customer_172@example.com,+1-676-414-3616,37,Other,Sweden,,City_2,2023-11-23,Bronze,2,203.2,True
173,First_173,Last_173,customer_173@example.com,+1-424-236-8834,77,Other,Canada,,City_89,2022-12-04,Bronze,12,1451.46,True
174,First_174,Last_174,customer_174@example.com,+1-896-872-2341,44,Other,Netherlands,,City_61,2023-08-25,Silver,8,3926.15,True
175,First_175,Last_175,customer_175@example.com,+1-732-552-2904,63,F,United Kingdom,,City_73,2022-10-13,Bronze,8,1741.63,True
176,First_176,Last_176,customer_176@example.com,+1-673-788-6049,23,Other,Italy,,City_8,2023-01-01,Bronze,3,542.89,True
177,First_177,Last_177,customer_177@example.com,+1-261-170-8734,34,M,France,,City_75,2023-07-11,Bronze,2,653.09,False
178,First_178,Last_178,customer_178@example.com,+1-584-182-9835,67,M,Spain,,City_48,2024-09-25,Platinum,2,1196.37,True
179,First_179,Last_179,customer_179@example.com,+1-889-836-9920,25,M,Netherlands,,City_51,2023-10-17,Silver,5,114.03,True
180,First_180,Last_180,customer_180@example.com,+1-629-729-1256,70,M,France,,City_59,2023-08-14,Bronze,2,121.63,True
181,First_181,Last_181,customer_181@example.com,+1-649-339-9843,24,Other,United States,MA,City_77,2025-05-14,Silver,8,834.76,True
182,First_182,Last_182,customer_182@example.com,+1-888-938-6253,26,Other,Canada,,City_30,2025-06-05,Gold,5,645.26,True
183,First_183,Last_183,customer_183@example.com,+1-805-852-3869,60,Other,France,,City_53,2024-12-09,Bronze,0,0.0,True
184,First_184,Last_184,customer_184@example.com,+1-352-407-7167,53,F,United States,VA,City_83,2023-05-08,Silver,5,644.97,True
185,First_185,Last_185,customer_185@example.com,+1-626-670-9683,33,M,Canada,,City_91,2023-02-02,Bronze,3,119.53,True
186,First_186,Last_186,customer_186@example.com,+1-395-152-5398,34,M,Australia,,City_83,2024-05-19,Bronze,2,294.96,True
187,First_187,Last_187,customer_187@example.com,+1-540-410-1251,73,M,France,,City_98,2025-07-10,Silver,5,476.72,True
188,First_188,Last_188,customer_188@example.com,+1-409-506-4921,79,Other,United Kingdom,,City_96,2024-09-04,Platinum,3,310.94,True
189,First_189,Last_189,customer_189@example.com,+1-300-922-8692,42,F,Netherlands,,City_84,2024-02-27,Bronze,2,412.02,True
190,First_190,Last_190,customer_190@example.com,+1-467-666-7841,76,M,Australia,,City_41,2023-12-13,Bronze,3,290.17,True
191,First_191,Last_191,customer_191@example.com,+1-463-881-9005,39,M,Spain,,City_73,2024-08-23,Gold,3,867.89,True
192,First_192,Last_192,customer_192@example.com,+1-857-160-9584,47,M,Australia,,City_22,2022-12-29,Bronze,3,253.96,True
193,First_193,Last_193,customer_193@example.com,+1-832-753-8916,66,M,Spain,,City_18,2025-06-21,Gold,1,202.67,True
194,First_194,Last_194,customer_194@example.com,+1-217-614-8054,18,Other,Netherlands,,City_53,2025-08-27,Bronze,3,342.58,True
195,First_195,Last_195,customer_195@example.com,+1-606-180-7112,24,M,Netherlands,,City_20,2024-09-26,Bronze,3,320.56,True
196,First_196,Last_196,customer_196@example.com,+1-977-132-2531,54,M,France,,City_39,2023-03-03,Silver,8,2309.22,True
197,First_197,Last_197,customer_197@example.com,+1-779-978-2562,53,F,United States,CA,City_90,2023-08-18,Bronze,3,514.61,True
198,First_198,Last_198,customer_198@example.com,+1-756-677-1539,32,M,Sweden,,City_61,2025-07-03,Bronze,12,3752.62,True
199,First_199,Last_199,customer_199@example.com,+1-366-677-4939,19,M,Sweden,,City_19,2023-12-24,Silver,5,788.05,True
200,First_200,Last_200,customer_200@example.com,+1-254-200-8161,61,Other,Australia,,City_50,2023-07-25,Silver,1,200.37,True
201,First_201,Last_201,customer_201@example.com,+1-661-602-4737,39,Other,Sweden,,City_77,2025-04-26,Bronze,5,133.4,True
202,First_202,Last_202,customer_202@example.com,+1-275-184-5390,45,M,Sweden,,City_85,2023-08-22,Bronze,5,605.35,True
203,First_203,Last_203,customer_203@example.com,+1-515-555-6896,65,F,Australia,,City_47,2024-11-17,Bronze,0,0.0,True
204,First_204,Last_204,customer_204@example.com,+1-562-667-2524,26,M,Germany,,City_56,2025-03-03,Bronze,3,484.02,True
205,First_205,Last_205,customer_205@example.com,+1-772-348-9537,73,F,United States,MI,City_53,2023-12-04,Bronze,0,0.0,True
206,First_206,Last_206,customer_206@example.com,+1-506-595-2260,28,M,Canada,,City_39,2023-08-11,Bronze,1,79.15,True
207,First_207,Last_207,customer_207@example.com,+1-589-923-6399,64,Other,Italy,,City_77,2024-05-11,Silver,3,469.87,True
208,First_208,Last_208,customer_208@example.com,+1-381-507-6228,70,Other,Sweden,,City_18,2023-05-01,Bronze,3,966.07,True
209,First_209,Last_209,customer_209@example.com,+1-777-304-9939,79,Other,France,,City_42,2022-12-28,Bronze,8,1244.66,True
210,First_210,Last_210,customer_210@example.com,+1-889-611-3280,78,Other,Italy,,City_91,2025-08-04,Bronze,5,2695.32,True
211,First_211,Last_211,customer_211@example.com,+1-796-510-9755,34,Other,Germany,,City_92,2024-05-21,Bronze,2,355.47,True
212,First_212,Last_212,customer_212@example.com,+1-987-354-6816,52,M,Australia,,City_90,2023-05-26,Gold,3,832.61,True
213,First_213,Last_213,customer_213@example.com,+1-427-622-9499,54,Other,Spain,,City_97,2025-06-30,Bronze,5,291.88,True
214,First_214,Last_214,customer_214@example.com,+1-225-594-2712,46,F,Spain,,City_60,2024-07-03,Silver,3,600.65,True
215,First_215,Last_215,customer_215@example.com,+1-687-199-8178,25,Other,Germany,,City_45,2025-04-06,Bronze,3,276.17,True
216,First_216,Last_216,customer_216@example.com,+1-893-919-3692,38,M,Canada,,City_6,2023-03-17,Gold,1,542.44,True
217,First_217,Last_217,customer_217@example.com,+1-844-288-4053,51,M,Netherlands,,City_21,2024-05-17,Bronze,2,366.38,True
218,First_218,Last_218,customer_218@example.com,+1-264-691-2667,43,M,Sweden,,City_26,2023-04-27,Bronze,2,230.77,True
