address_id,customer_id,address_type,street_address,city,state,postal_code,country,is_default
39,1013,shipping,9362 Oak Ave,City_79,,23734,Canada,True
40,1185,shipping,9732 Oak Ave,City_47,,49836,Canada,True
41,1274,shipping,7237 Pine Rd,City_3,,85524,Australia,True
42,758,shipping,4912 Elm St,City_5,,20928,France,True
43,1330,shipping,5479 Elm St,City_49,,48246,Spain,True
44,57,shipping,4141 Oak Ave,City_30,,29999,Canada,True
45,77,shipping,6425 Maple Dr,City_70,,60645,Italy,True
46,524,billing,1650 Pine Rd,City_99,,79856,Italy,True
47,1414,shipping,9609 Maple Dr,City_67,,35799,Spain,False
48,469,shipping,2614 Elm St,City_15,,36503,Canada,True
49,1383,shipping,2453 Elm St,City_59,,30640,United Kingdom,True
50,1061,shipping,2213 Pine Rd,City_85,,12617,France,True
51,925,billing,2381 Main St,City_88,,69047,Canada,False
52,485,shipping,832 Main St,City_19,,96336,United Kingdom,True
53,382,shipping,7286 Oak Ave,City_41,,36961,Italy,False
54,639,shipping,7820 Main St,City_75,,54863,Canada,False
55,975,shipping,9592 Maple Dr,City_14,,89593,Germany,False
56,101,shipping,7792 Oak Ave,City_65,,90553,Sweden,True
57,1007,shipping,6353 Maple Dr,City_20,,68402,United Kingdom,False
58,689,billing,1675 Maple Dr,City_45,,76855,Canada,True
59,199,billing,4103 Main St,City_19,,69905,Sweden,True
60,910,billing,3750 Main St,City_65,,84927,Sweden,True
61,974,billing,8995 Pine Rd,City_36,OH,92277,United States,True
62,118,shipping,6464 Maple Dr,City_85,,77590,Sweden,False
63,198,shipping,7558 Pine Rd,City_61,,99756,Sweden,True
64,1423,shipping,996 Main St,City_94,,53218,Spain,False
65,340,billing,2489 Oak Ave,City_1,,96697,Netherlands,False
66,131,shipping,6026 Pine Rd,City_9,,72340,Australia,True
67,1274,shipping,2567 Main St,City_3,,16149,Australia,False
68,1459,shipping,6800 Maple Dr,City_46,,78784,Italy,False
69,718,shipping,9078 Maple Dr,City_55,,66641,United Kingdom,True
70,431,shipping,4032 Maple Dr,City_62,,33099,Netherlands,True
71,766,shipping,8013 Elm St,City_95,,69221,Sweden,False
72,1471,shipping,9366 Pine Rd,City_36,,95464,Australia,False
73,325,billing,1137 Pine Rd,City_65,,38929,Sweden,False
74,905,billing,1765 Oak Ave,City_57,,74705,Italy,False
75,646,billing,3169 Elm St,City_81,,62444,Sweden,True
76,492,billing,6709 Oak Ave,City_60,PA,75099,United States,True
77,578,billing,4564 Elm St,City_35,,11539,Spain,False
78,411,shipping,7028 Elm St,City_99,,44075,Italy,True
79,789,shipping,7074 Oak Ave,City_62,,40524,United Kingdom,True
80,542,billing,5843 Oak Ave,City_94,,67016,Spain,False
81,459,shipping,5973 Pine Rd,City_2,,92890,France,True
82,452,shipping,7275 Elm St,City_11,,97109,Italy,True
83,1175,shipping,128 Main St,City_17,,56887,Sweden,True
84,92,shipping,5187 Pine Rd,City_3,,41958,Sweden,True
85,526,shipping,335 Elm St,City_87,IN,46457,United States,True
86,69,billing,3342 Maple Dr,City_80,,70114,Australia,True
87,1397,shipping,159 Elm St,City_88,,95648,Sweden,False
88,900,shipping,3517 Oak Ave,City_44,,56135,Sweden,False
89,981,billing,4687 Oak Ave,City_68,,35554,Australia,True
90,1250,shipping,2122 Oak Ave,City_37,,29712,Australia,True
91,1050,shipping,7725 Main St,City_93,,14808,Italy,True
92,1116,shipping,1240 Main St,City_13,,81500,Sweden,True
93,765,billing,3978 Maple Dr,City_71,,37649,Netherlands,True
94,641,billing,5629 Pine Rd,City_16,,35027,Australia,True
95,1498,shipping,8179 Main St,City_89,,27516,Australia,False
96,586,shipping,3574 Maple Dr,City_12,,44454,Canada,False
97,1416,billing,9055 Maple Dr,City_31,,70806,Netherlands,False
98,819,shipping,1518 Maple Dr,City_4,,36019,Germany,False
99,180,shipping,7559 Oak Ave,City_59,,27016,France,True
100,1373,shipping,1669 Maple Dr,City_90,,53072,Sweden,True
101,291,shipping,2301 Oak Ave,City_48,,42296,Canada,True
102,737,shipping,5962 Maple Dr,City_67,,97608,Germany,True
103,1368,billing,8914 Oak Ave,City_8,,41858,United Kingdom,False
104,1064,shipping,8541 Elm St,City_62,,36801,Australia,False
105,128,shipping,8592 Main St,City_82,,52768,Spain,False
106,1342,shipping,9599 Maple Dr,City_81,,88943,United Kingdom,False
107,1260,shipping,8254 Main St,City_28,,47110,Sweden,False
108,1496,shipping,5300 Maple Dr,City_90,NY,53815,United States,True
109,346,shipping,7998 Pine Rd,City_60,MO,62870,United States,True
110,839,billing,2998 Elm St,City_75,,36071,Netherlands,True
111,852,shipping,6414 Pine Rd,City_84,,70713,Netherlands,True
112,782,billing,7846 Main St,City_30,,48499,Germany,False
113,642,shipping,735 Pine Rd,City_63,,97563,Canada,True
114,1024,billing,1782 Maple Dr,City_79,,28468,Australia,False
115,1337,billing,4426 Elm St,City_52,PA,65312,United States,True
116,1485,shipping,7461 Elm St,City_40,,88961,Italy,True
117,1155,shipping,311 Pine Rd,City_24,,68772,United Kingdom,False
118,509,shipping,145 Oak Ave,City_44,,69465,Spain,True
119,582,shipping,4430 Maple Dr,City_43,,24216,Australia,True
120,1238,shipping,8080 Maple Dr,City_56,,84062,Germany,True
121,1103,billing,7459 Maple Dr,City_93,,98396,France,True
122,1129,shipping,8261 Main St,City_6,,32714,Australia,True
123,1299,shipping,3737 Elm St,City_88,TX,31775,United States,False
124,1189,shipping,5204 Pine Rd,City_99,,73722,Canada,True
125,468,shipping,9239 Main St,City_3,,42664,Canada,True
126,478,shipping,1915 Oak Ave,City_75,,76433,Germany,True
127,109,shipping,1115 Maple Dr,City_55,,63060,Sweden,True
128,603,shipping,7738 Main St,City_43,,90706,United Kingdom,False
129,486,shipping,9531 Pine Rd,City_88,,75001,United Kingdom,True
130,809,shipping,6735 Maple Dr,City_59,,54642,Canada,False
131,963,billing,4193 Pine Rd,City_66,,37345,Spain,False
132,1300,shipping,8333 Main St,City_27,,92036,Australia,True
133,846,billing,3271 Pine Rd,City_85,,11224,Canada,True
134,521,shipping,4685 Maple Dr,City_75,,33946,Spain,False
135,406,shipping,3476 Main St,City_89,,80742,Sweden,True
136,699,shipping,9554 Oak Ave,City_83,,45426,Canada,True
137,100,shipping,3677 Maple Dr,City_43,,97333,Netherlands,True
138,153,shipping,2761 Elm St,City_18,,69601,Spain,False
139,588,billing,5282 Oak Ave,City_65,,39507,Canada,False
140,603,shipping,9402 Maple Dr,City_43,,84061,United Kingdom,True
141,997,billing,481 Oak Ave,City_99,,73027,Canada,True
142,803,shipping,2279 Elm St,City_6,,40767,United Kingdom,True
143,324,billing,2643 Oak Ave,City_28,,64211,Spain,True
144,349,billing,8651 Elm St,City_62,,24633,Australia,False
145,411,shipping,6232 Maple Dr,City_99,,18293,Italy,True
146,105,billing,3105 Pine Rd,City_35,TX,78881,United States,True
147,1256,shipping,1553 Main St,City_62,,57044,Spain,True
148,80,shipping,5255 Main St,City_59,,34639,Canada,True
149,1028,billing,8769 Oak Ave,City_62,,58029,Italy,True
150,1358,shipping,1909 Oak Ave,City_98,,95409,Sweden,False
151,1241,shipping,6471 Main St,City_18,,50624,Spain,False
152,91,shipping,991 Pine Rd,City_70,,69995,Australia,True
153,734,shipping,8989 Pine Rd,City_13,,38912,Australia,True
154,423,shipping,2666 Elm St,City_49,,91513,Sweden,True
155,1039,shipping,7640 Pine Rd,City_17,,66996,United Kingdom,True
156,914,billing,6650 Pine Rd,City_4,NY,41023,United States,True
157,1370,shipping,111 Main St,City_26,,65513,Netherlands,True
158,1365,shipping,5686 Oak Ave,City_62,MO,34733,United States,True
159,38,shipping,364 Pine Rd,City_29,,30935,Canada,True
160,991,shipping,158 Pine Rd,City_90,,30515,France,True
161,529,billing,4852 Maple Dr,City_91,,51445,Italy,True
162,891,shipping,6611 Elm St,City_7,,28062,Italy,True
163,448,shipping,3884 Oak Ave,City_12,,17001,United Kingdom,False
164,1161,shipping,9013 Elm St,City_58,,52341,Australia,True
165,1048,billing,3706 Oak Ave,City_83,,60224,Australia,False
166,1192,shipping,6145 Pine Rd,City_25,,38797,Canada,True
167,1483,shipping,1902 Oak Ave,City_99,,13534,Germany,True
168,1325,shipping,5596 Maple Dr,City_42,TX,38056,United States,False
169,682,shipping,7704 Maple Dr,City_66,,65498,Germany,True
170,6,shipping,9745 Oak Ave,City_69,,69908,Germany,True
171,1006,shipping,3145 Pine Rd,City_48,,82916,Netherlands,True
172,116,shipping,8514 Main St,City_14,MA,74537,United States,True
173,1171,shipping,145 Main St,City_47,,68638,Germany,True
174,544,shipping,7829 Pine Rd,City_26,,46402,Germany,True
175,806,shipping,3612 Main St,City_17,,64813,Australia,False
176,900,billing,8440 Main St,City_44,,56882,Sweden,True
177,529,shipping,5097 Main St,City_91,,97745,Italy,False
178,586,billing,9177 Main St,City_12,,25170,Canada,True
179,372,shipping,9277 Main St,City_67,,79480,Netherlands,False
180,987,shipping,9760 Elm St,City_45,,17544,Netherlands,False
181,980,shipping,5550 Maple Dr,City_94,,53549,Australia,True
182,1219,billing,619 Maple Dr,City_89,,80822,Sweden,True
183,1327,shipping,177 Oak Ave,City_34,,74299,Canada,True
184,36,billing,9394 Oak Ave,City_54,,13547,France,True
185,1262,shipping,280 Maple Dr,City_38,IL,95623,United States,True
186,1235,shipping,6681 Main St,City_74,WA,47355,United States,True
187,737,shipping,9018 Elm St,City_67,,40401,Germany,False
188,693,shipping,2275 Oak Ave,City_20,,23069,Germany,True
189,292,shipping,4859 Oak Ave,City_71,,89294,Sweden,False
190,401,shipping,8255 Oak Ave,City_12,,92369,France,True
191,676,billing,8307 Main St,City_80,,54950,Italy,False
192,1015,shipping,3436 Oak Ave,City_85,,94495,Spain,False
193,1197,shipping,5332 Elm St,City_95,,56375,Germany,True
194,218,billing,8671 Oak Ave,City_26,,57491,Sweden,True
195,398,billing,4137 Main St,City_34,,34750,France,False
196,923,billing,7725 Pine Rd,City_28,,42936,Sweden,True
197,994,shipping,9318 Oak Ave,City_79,MA,10345,United States,True
198,546,billing,2241 Oak Ave,City_64,,26179,Canada,False
199,515,shipping,7420 Main St,City_37,,96154,Australia,True
200,659,shipping,2261 Maple Dr,City_49,,75736,Australia,False
201,445,shipping,7765 Main St,City_67,,98880,France,True
202,338,shipping,7108 Main St,City_80,,17588,Sweden,False
203,85,shipping,6939 Main St,City_68,,13997,Australia,False
204,1302,shipping,1790 Main St,City_1,,60572,Canada,False
205,555,billing,8122 Elm St,City_86,,94248,Canada,True
206,657,shipping,2286 Oak Ave,City_77,,82002,Italy,True
207,681,shipping,7936 Elm St,City_77,,36940,Australia,False
208,299,billing,2383 Main St,City_24,,67965,Netherlands,True
209,1459,billing,7722 Oak Ave,City_46,,32187,Italy,True
210,957,shipping,317 Pine Rd,City_29,,39288,Spain,True
211,247,shipping,4830 Oak Ave,City_55,NJ,37782,United States,True
212,614,shipping,8769 Elm St,City_2,,88988,United Kingdom,False
213,296,shipping,1354 Maple Dr,City_36,,17020,Australia,True
214,47,shipping,7775 Pine Rd,City_11,,51827,Canada,True
215,1100,shipping,7365 Pine Rd,City_2,,93633,Germany,True
216,731,billing,396 Pine Rd,City_9,,24531,Canada,False
217,1415,shipping,3285 Oak Ave,City_62,,60674,Canada,False
218,1490,shipping,4693 Main St,City_45,,19002,Netherlands,True
219,1492,shipping,8041 Elm St,City_20,,95452,France,True
220,139,billing,9742 Oak Ave,City_41,,98843,Spain,False
221,463,shipping,7003 Pine Rd,City_49,,86273,Australia,True
222,198,shipping,5364 Elm St,City_61,,19880,Sweden,True
223,1326,shipping,8019 Oak Ave,City_8,,87317,Australia,False
224,1454,shipping,493 Main St,City_98,,15110,Germany,False
225,770,shipping,5777 Pine Rd,City_96,,11478,Netherlands,True
226,162,shipping,4251 Pine Rd,City_29,,77635,Canada,True
227,1087,shipping,3614 Maple Dr,City_77,,21250,Sweden,False
228,1482,shipping,7925 Pine Rd,City_25,,73381,France,True
229,207,billing,366 Elm St,City_77,,90280,Italy,True
230,798,shipping,6063 Oak Ave,City_83,,40763,Italy,False
231,1308,shipping,2399 Oak Ave,City_93,,13238,Canada,False
232,1385,billing,6575 Oak Ave,City_2,,16575,Australia,False
233,852,shipping,6323 Elm St,City_84,,89082,Netherlands,True
234,661,billing,5989 Maple Dr,City_64,NC,54509,United States,True
235,666,billing,1660 Maple Dr,City_40,,67068,Australia,True
236,747,shipping,5868 Elm St,City_44,,38013,Spain,True
237,689,billing,8805 Elm St,City_45,,46955,Canada,True
238,418,shipping,4786 Maple Dr,City_98,,17519,Spain,True
239,998,billing,3292 Pine Rd,City_31,,28684,Germany,True
240,856,billing,2561 Elm St,City_32,,39050,Australia,False
241,92,shipping,4908 Maple Dr,City_3,,37563,Sweden,True
242,1408,shipping,299 Pine Rd,City_76,,50406,France,True
243,396,billing,8681 Maple Dr,City_98,,61099,Netherlands,True
244,1321,shipping,7430 Elm St,City_15,,32161,Netherlands,True
245,655,billing,5194 Elm St,City_95,,62974,Germany,False
246,569,billing,8051 Oak Ave,City_8,,50579,Netherlands,True
247,502,shipping,7525 Main St,City_1,,13055,Sweden,True
248,836,shipping,364 Elm St,City_65,,56088,Canada,True
249,1369,shipping,7003 Pine Rd,City_49,TX,72432,United States,True
250,1267,shipping,4284 Elm St,City_37,,99245,United Kingdom,True
251,972,shipping,2486 Main St,City_22,,68457,Germany,True
252,127,billing,9399 Elm St,City_28,NC,61732,United States,False
253,969,shipping,1322 Oak Ave,City_17,,49246,Spain,True
254,986,shipping,4441 Elm St,City_25,TX,67912,United States,False
255,1474,shipping,2759 Oak Ave,City_13,,62000,Germany,False
256,1275,shipping,6683 Oak Ave,City_84,,68518,Canada,True
257,1039,billing,1962 Oak Ave,City_17,,10685,United Kingdom,False
258,568,billing,8088 Elm St,City_40,,63745,Germany,True
259,150,billing,4139 Main St,City_16,,43103,Italy,False
260,478,billing,500 Elm St,City_75,,94227,Germany,True
261,1464,shipping,1394 Maple Dr,City_72,,97314,Netherlands,False
262,753,shipping,6113 Elm St,City_76,,55006,United Kingdom,False
263,390,billing,2908 Maple Dr,City_21,,28450,United Kingdom,True
264,669,shipping,3106 Elm St,City_13,,28845,Spain,True
265,550,shipping,4363 Elm St,City_67,IL,73088,United States,True
266,1244,shipping,3262 Maple Dr,City_65,,41025,Germany,True
267,1361,billing,882 Oak Ave,City_59,,91958,United Kingdom,False
268,1226,shipping,2570 Elm St,City_16,,36443,Australia,False
269,891,billing,4330 Main St,City_7,,39951,Italy,True
270,383,billing,3162 Maple Dr,City_31,,69078,Canada,True
271,556,billing,1334 Pine Rd,City_4,,19294,Australia,True
272,469,billing,1096 Main St,City_15,,86263,Canada,True
273,101,shipping,7971 Oak Ave,City_65,,64758,Sweden,True
274,951,shipping,3859 Elm St,City_37,,94153,Italy,False
275,599,billing,7606 Elm St,City_98,,25994,Sweden,True
276,166,shipping,4638 Maple Dr,City_53,,97462,Germany,False
277,537,billing,8311 Pine Rd,City_61,,11273,Canada,True
278,262,shipping,1018 Pine Rd,City_46,,28506,Germany,True
279,310,shipping,7841 Elm St,City_100,,64051,France,True
280,1225,shipping,1662 Maple Dr,City_71,,79692,Italy,True
281,918,billing,4746 Pine Rd,City_10,,36427,United Kingdom,True
282,263,shipping,3720 Oak Ave,City_8,,26097,Italy,True
283,1212,shipping,4942 Elm St,City_26,,62417,France,True
284,982,shipping,656 Elm St,City_51,,68139,Italy,True
285,127,shipping,4040 Oak Ave,City_28,NC,85746,United States,True
286,255,shipping,5060 Main St,City_75,,31592,United Kingdom,True
287,805,billing,7863 Maple Dr,City_41,,80241,Germany,True
288,4,shipping,2289 Main St,City_11,,90510,Spain,False
289,563,shipping,5425 Oak Ave,City_93,,57748,Spain,True
290,774,shipping,8692 Elm St,City_56,,56965,United Kingdom,True
291,551,billing,6558 Elm St,City_79,,17380,Netherlands,True
292,438,shipping,8973 Elm St,City_18,,15679,Netherlands,False
293,945,shipping,2176 Maple Dr,City_37,,12532,Germany,False
294,684,shipping,3140 Pine Rd,City_29,OH,23073,United States,False
295,1383,billing,6421 Oak Ave,City_59,,80624,United Kingdom,True
296,964,shipping,146 Maple Dr,City_72,,36221,Spain,True
297,1487,shipping,5622 Oak Ave,City_92,,68843,Italy,False
298,1317,shipping,5355 Elm St,City_20,,14908,Spain,True
299,1347,shipping,9140 Pine Rd,City_4,,21214,Australia,False
300,1256,shipping,8921 Pine Rd,City_62,,23883,Spain,False
301,1116,shipping,7186 Pine Rd,City_13,,60994,Sweden,False
302,49,billing,8120 Maple Dr,City_78,,31801,Germany,True
303,497,shipping,1033 Maple Dr,City_91,,35921,United Kingdom,True
304,656,shipping,8833 Pine Rd,City_79,,35742,France,True
305,101,shipping,5362 Elm St,City_65,,26519,Sweden,False
306,615,shipping,5683 Main St,City_39,,71063,Spain,False
307,1020,shipping,3847 Main St,City_28,,81290,France,False
308,1500,billing,7585 Maple Dr,City_100,,59809,Netherlands,False
309,1249,shipping,5996 Elm St,City_35,,77180,Netherlands,True
310,1201,billing,6298 Elm St,City_2,,36519,Spain,True
311,1125,shipping,5939 Elm St,City_17,,80050,Italy,True
312,783,shipping,8484 Pine Rd,City_53,,88399,Spain,False
313,1412,shipping,5716 Oak Ave,City_91,,25525,Germany,False
314,449,billing,3577 Pine Rd,City_6,,78905,Spain,True
315,640,billing,6204 Pine Rd,City_92,,78334,Italy,True
316,927,shipping,1906 Main St,City_57,,76278,Germany,True
317,877,billing,6147 Pine Rd,City_32,,26209,Italy,False
318,282,shipping,828 Pine Rd,City_51,,80054,United Kingdom,True
319,793,shipping,5294 Elm St,City_15,,82460,Netherlands,True
320,319,shipping,3660 Pine Rd,City_59,,27572,United Kingdom,True
321,962,shipping,7333 Oak Ave,City_78,,97068,Netherlands,False
322,197,shipping,6496 Main St,City_90,CA,67188,United States,False
323,782,shipping,6520 Oak Ave,City_30,,57993,Germany,False
324,1148,billing,1320 Elm St,City_46,,95709,United Kingdom,False
325,1028,billing,1613 Main St,City_62,,91035,Italy,False
326,344,shipping,1002 Maple Dr,City_72,,52717,Netherlands,False
327,767,billing,6165 Maple Dr,City_65,,89881,Italy,True
328,350,shipping,2269 Oak Ave,City_34,,66524,France,True
329,1440,billing,6550 Pine Rd,City_57,,43499,Australia,False
330,63,billing,1343 Maple Dr,City_61,,72470,Sweden,True
331,1418,shipping,2788 Main St,City_42,,28575,Spain,False
332,1030,shipping,1861 Elm St,City_19,,41729,Australia,False
333,310,shipping,1566 Maple Dr,City_100,,87874,France,False
334,873,billing,9318 Oak Ave,City_35,,96536,Sweden,True
335,398,shipping,4574 Main St,City_34,,89443,France,False
336,268,shipping,4005 Pine Rd,City_17,,48094,France,True
337,110,shipping,2284 Elm St,City_12,,66279,Australia,True
338,1495,shipping,9716 Elm St,City_5,,59341,France,False
339,1233,shipping,7348 Pine Rd,City_27,,27248,Sweden,False
340,629,shipping,3455 Maple Dr,City_88,,92303,Netherlands,False
341,491,shipping,8647 Main St,City_99,,11218,Spain,True
342,1216,shipping,7741 Main St,City_79,,92883,Italy,False
343,1376,billing,6719 Main St,City_29,,91806,United Kingdom,False
344,386,billing,3203 Main St,City_63,,47463,Australia,True
345,1463,shipping,4079 Elm St,City_12,,24752,Canada,True
346,97,shipping,3307 Maple Dr,City_59,,21919,Canada,True
347,1169,shipping,4583 Maple Dr,City_42,,67897,Germany,True
348,1069,shipping,5515 Oak Ave,City_98,,41615,Spain,False
349,1365,shipping,9189 Maple Dr,City_62,MO,67591,United States,True
350,1472,shipping,6268 Elm St,City_54,,19931,Sweden,True
351,58,shipping,3607 Elm St,City_98,,12110,Sweden,True
352,192,billing,1714 Oak Ave,City_22,,50507,Australia,False
353,1015,shipping,3727 Maple Dr,City_85,,11308,Spain,False
354,691,shipping,3717 Oak Ave,City_25,,85771,Australia,False
355,1090,shipping,3098 Oak Ave,City_76,,97055,United Kingdom,True
356,232,shipping,214 Main St,City_9,,32863,Australia,False
357,990,shipping,5052 Maple Dr,City_46,,90286,Italy,True
358,180,shipping,5465 Maple Dr,City_59,,18173,France,True
359,246,billing,856 Main St,City_64,,60784,Germany,True
360,1225,billing,9427 Maple Dr,City_71,,18906,Italy,False
361,194,billing,4654 Elm St,City_53,,83261,Netherlands,False
362,24,shipping,452 Elm St,City_59,,55453,Canada,True
363,1385,shipping,8077 Pine Rd,City_2,,71858,Australia,True
364,532,shipping,2947 Oak Ave,City_83,,49815,Netherlands,False
365,718,billing,8839 Maple Dr,City_55,,67644,United Kingdom,True
366,531,shipping,5546 Oak Ave,City_54,MI,81835,United States,True
367,443,shipping,7967 Main St,City_97,,68284,France,True
368,158,billing,2051 Main St,City_61,WI,80439,United States,False
369,485,shipping,8363 Maple Dr,City_19,,99071,United Kingdom,False
370,1494,shipping,9914 Maple Dr,City_46,,27666,Italy,False
371,136,billing,3268 Elm St,City_85,,85559,Australia,False
372,579,shipping,6091 Oak Ave,City_63,,49507,Italy,True
373,192,shipping,479 Pine Rd,City_22,,63841,Australia,True
374,678,shipping,7479 Oak Ave,City_29,,56979,Germany,False
375,388,shipping,7381 Pine Rd,City_26,,60922,Sweden,True
376,1391,shipping,8833 Main St,City_17,,59051,Germany,True
377,202,billing,629 Oak Ave,City_85,,62069,Sweden,True
378,452,billing,4404 Elm St,City_11,,92936,Italy,False
379,1468,billing,5445 Main St,City_62,,10284,Spain,False
380,860,shipping,9240 Maple Dr,City_6,,54768,Netherlands,True
381,47,shipping,9137 Elm St,City_11,,32229,Canada,True
382,1338,billing,2350 Elm St,City_49,,23341,Italy,True
383,1202,shipping,2129 Main St,City_41,TN,57352,United States,True
384,71,billing,5462 Pine Rd,City_66,,20263,Canada,True
385,1005,shipping,2581 Oak Ave,City_2,,85907,Italy,True
386,1332,shipping,7592 Pine Rd,City_100,WI,29551,United States,False
387,452,shipping,1572 Maple Dr,City_11,,86170,Italy,False
388,1043,shipping,8057 Pine Rd,City_65,,66175,Netherlands,False
389,1461,shipping,8728 Pine Rd,City_12,,65492,Spain,False
390,1464,shipping,3462 Main St,City_72,,61894,Netherlands,True
391,420,shipping,9185 Maple Dr,City_28,,77035,France,True
392,1436,shipping,8763 Maple Dr,City_4,,73372,France,True
393,112,billing,4964 Main St,City_78,,74729,Germany,True
394,222,billing,5838 Oak Ave,City_37,,78038,Italy,True
395,197,billing,8228 Main St,City_90,CA,99003,United States,False
396,147,shipping,3518 Main St,City_6,,50896,United Kingdom,True
397,202,shipping,625 Oak Ave,City_85,,55791,Sweden,True
398,1104,shipping,2077 Maple Dr,City_58,MO,77720,United States,False
399,339,shipping,6791 Maple Dr,City_66,,81743,Australia,True
400,1038,shipping,2839 Pine Rd,City_73,,40997,Italy,True
401,1026,shipping,8 Maple Dr,City_59,,86767,Italy,False
402,595,billing,8264 Pine Rd,City_11,,95230,Italy,True
403,1438,shipping,6278 Main St,City_3,,42664,Sweden,True
404,404,shipping,1985 Elm St,City_81,,79162,Germany,True
405,183,billing,8763 Maple Dr,City_53,,98257,France,False
406,985,shipping,3012 Elm St,City_87,NJ,65360,United States,False
407,118,shipping,7807 Pine Rd,City_85,,28344,Sweden,True
408,175,shipping,3730 Maple Dr,City_73,,47657,United Kingdom,True
409,1089,shipping,1121 Main St,City_29,,70358,Italy,True
410,471,billing,5193 Pine Rd,City_23,,87843,Spain,False
411,772,billing,7510 Main St,City_70,,99189,France,False
412,829,shipping,172 Pine Rd,City_5,,90758,Italy,False
413,148,shipping,5070 Main St,City_32,,57632,Italy,False
414,890,shipping,1993 Pine Rd,City_73,,53897,Netherlands,False
415,1378,shipping,8876 Oak Ave,City_38,,19710,Spain,False
416,591,shipping,1552 Maple Dr,City_24,,24387,Australia,False
417,676,billing,651 Pine Rd,City_80,,86444,Italy,True
418,1113,shipping,1777 Main St,City_20,,17648,Netherlands,False
419,597,shipping,1015 Elm St,City_17,,59903,Australia,True
420,778,billing,1160 Elm St,City_42,,48157,Germany,False
421,1323,billing,929 Elm St,City_63,AZ,47741,United States,True
422,688,billing,5514 Maple Dr,City_33,,47732,Australia,False
423,178,shipping,2201 Maple Dr,City_48,,32457,Spain,False
424,373,billing,2296 Maple Dr,City_86,,44284,Australia,False
425,507,billing,8918 Main St,City_10,,24437,France,False
426,769,billing,7087 Pine Rd,City_62,,88290,Germany,True
427,261,shipping,8599 Oak Ave,City_6,,30303,United Kingdom,True
428,652,shipping,8115 Pine Rd,City_8,,82279,Canada,True
429,620,shipping,3587 Oak Ave,City_61,,75441,Spain,True
430,199,shipping,3249 Oak Ave,City_19,,43507,Sweden,True
431,933,shipping,3395 Maple Dr,City_75,,79878,Spain,True
432,363,shipping,6510 Maple Dr,City_1,,43132,Netherlands,True
433,1116,shipping,5645 Elm St,City_13,,83648,Sweden,False
434,1346,shipping,2228 Maple Dr,City_10,,92350,Sweden,False
435,959,shipping,7475 Elm St,City_69,,78046,Germany,True
436,1171,shipping,7682 Maple Dr,City_47,,68000,Germany,True
437,756,shipping,3109 Main St,City_72,,52434,United Kingdom,False
438,845,shipping,6934 Elm St,City_59,IL,95899,United States,True
439,530,shipping,3557 Elm St,City_23,,11611,Spain,True
440,1414,shipping,9669 Pine Rd,City_67,,44939,Spain,True
441,787,billing,8170 Oak Ave,City_10,,50811,United Kingdom,True
442,754,shipping,6387 Maple Dr,City_72,WA,86979,United States,True
443,795,billing,8184 Pine Rd,City_14,,18825,Sweden,True
